GeneSet	GeneSymbol
Up_in_VistaKO_normoxia	GRAP
Up_in_VistaKO_normoxia	PTTG1
Up_in_VistaKO_normoxia	FCGR2B
Up_in_VistaKO_normoxia	CMPK2
Up_in_VistaKO_normoxia	FCRLB
Up_in_VistaKO_normoxia	JCHAIN
Up_in_VistaKO_normoxia	CDH23
Up_in_VistaKO_normoxia	CIITA
Up_in_VistaKO_normoxia	GABBR1
Up_in_VistaKO_normoxia	CACNA2D2
Up_in_VistaKO_normoxia	IL2RA
Up_in_VistaKO_normoxia	JAML
Up_in_VistaKO_normoxia	SELL
Up_in_VistaKO_normoxia	FCRLA
Up_in_VistaKO_normoxia	FBXO10
Up_in_VistaKO_normoxia	CARD10
Up_in_VistaKO_normoxia	SEMA4F
Up_in_VistaKO_normoxia	HDC
Up_in_VistaKO_normoxia	C1QA
Up_in_VistaKO_normoxia	RNF144A
Up_in_VistaKO_normoxia	PIANP
Up_in_VistaKO_normoxia	ADAM19
Up_in_VistaKO_normoxia	C1QB
Up_in_VistaKO_normoxia	VCAN
Up_in_VistaKO_normoxia	IL1RL1
Up_in_VistaKO_normoxia	CACNA1E
Up_in_VistaKO_normoxia	ADAM23
Up_in_VistaKO_normoxia	PRG2
Up_in_VistaKO_normoxia	SATB1
Up_in_VistaKO_normoxia	ASGR2
Up_in_VistaKO_normoxia	CASP6
Up_in_VistaKO_normoxia	RNASE6
Up_in_VistaKO_normoxia	HSPA12A
Up_in_VistaKO_normoxia	SCRG1
Up_in_VistaKO_normoxia	STEAP4
Up_in_VistaKO_normoxia	ADGRB1
Up_in_VistaKO_normoxia	HR
Up_in_VistaKO_normoxia	PRG3
Up_in_VistaKO_normoxia	FARP1
Up_in_VistaKO_normoxia	PPP1R42
Up_in_VistaKO_normoxia	CYP1B1
Up_in_VistaKO_normoxia	ITLN1
Up_in_VistaKO_normoxia	ACHE
Up_in_VistaKO_normoxia	ZNF366
Up_in_VistaKO_normoxia	TLR5
Up_in_VistaKO_normoxia	HLA-DQA1
Up_in_VistaKO_normoxia	DHRS9
Up_in_VistaKO_normoxia	FNDC5
Up_in_VistaKO_normoxia	ADRA2A
Up_in_VistaKO_normoxia	HLA-DQB1
Up_in_VistaKO_normoxia	C10orf105
Up_in_VistaKO_normoxia	APLNR
Up_in_VistaKO_normoxia	TEX15
Up_in_VistaKO_normoxia	HLA-DRB1
Up_in_VistaKO_normoxia	GFRA2
Up_in_VistaKO_normoxia	MRGPRX3
Up_in_VistaKO_normoxia	ABCC8
Up_in_VistaKO_normoxia	SERPINB10
Up_in_VistaKO_normoxia	DPP4
Up_in_VistaKO_normoxia	MAOB
Down_in_VistaKO_normoxia	ACOD1
Down_in_VistaKO_normoxia	VSIR
Down_in_VistaKO_normoxia	SPP1
Down_in_VistaKO_normoxia	PID1
Down_in_VistaKO_normoxia	SLC7A2
Down_in_VistaKO_normoxia	OLFML2B
Down_in_VistaKO_normoxia	LUZP1
Down_in_VistaKO_normoxia	IL1A
Down_in_VistaKO_normoxia	BHLHE41
Down_in_VistaKO_normoxia	MMP14
Down_in_VistaKO_normoxia	CP
Down_in_VistaKO_normoxia	AXL
Down_in_VistaKO_normoxia	PMP22
Down_in_VistaKO_normoxia	PMEPA1
Down_in_VistaKO_normoxia	MYOF
Down_in_VistaKO_normoxia	OIT3
Down_in_VistaKO_normoxia	ATP6V0D2
Down_in_VistaKO_normoxia	MYO10
Down_in_VistaKO_normoxia	DUSP23
Down_in_VistaKO_normoxia	MARCO
Down_in_VistaKO_normoxia	PTX3
Down_in_VistaKO_normoxia	TNFSF9
Down_in_VistaKO_normoxia	RARRES1
Down_in_VistaKO_normoxia	SLC6A8
Down_in_VistaKO_normoxia	MT2A
Down_in_VistaKO_normoxia	RGS1
Down_in_VistaKO_normoxia	SERPINE1
Down_in_VistaKO_normoxia	PCDH7
Down_in_VistaKO_normoxia	ALDH1L2
Down_in_VistaKO_normoxia	BATF3
Down_in_VistaKO_normoxia	POU6F1
Down_in_VistaKO_normoxia	ALDH3A1
Down_in_VistaKO_normoxia	MALL
